Student_ID,Teacher_Name,Section,Performance_Score,Late_Count,Attendance_Rate,Risk_Status,Feedback_Rating
1039,David Okafor,Elite-A,45,1,70.76,1,1
1040,Marcus Chen,Elite-A,43,1,78.09,1,1
1041,Priya Sharma,Elite-A,44,5,90.39,1,2
1042,Sarah Jenkins,Foundational-C,74,4,96.37,0,5
1043,David Okafor,Foundational-C,57,5,74.54,0,2
1044,David Okafor,Mainstream-B,66,3,97.16,0,5
1045,Priya Sharma,Elite-A,88,4,93.06,0,2
1046,Elena Rodriguez,Elite-A,58,5,89.42,0,3
1047,Priya Sharma,Foundational-C,77,3,66.9,0,4
1048,Marcus Chen,Mainstream-B,84,5,62.82,0,5
1049,David Okafor,Mainstream-B,84,3,92.24,0,4
1050,Priya Sharma,Elite-A,82,1,69.0,0,2
1051,Marcus Chen,Foundational-C,82,3,69.06,0,5
1052,Marcus Chen,Mainstream-B,71,1,92.12,0,3
1053,Sarah Jenkins,Foundational-C,72,5,65.09,0,5
1054,Elena Rodriguez,Mainstream-B,68,1,79.04,0,3
1055,Elena Rodriguez,Foundational-C,80,2,87.08,0,4
1056,Priya Sharma,Elite-A,79,1,93.16,0,3
1057,Marcus Chen,Foundational-C,92,2,82.84,0,5
1058,Priya Sharma,Foundational-C,95,3,67.99,0,2
1059,Marcus Chen,Foundational-C,49,1,71.57,1,3
1060,Priya Sharma,Elite-A,100,3,74.02,0,5
1061,Marcus Chen,Elite-A,75,6,96.33,0,4
1062,David Okafor,Mainstream-B,71,2,96.78,0,3
1063,David Okafor,Mainstream-B,74,5,61.54,0,2
1064,Priya Sharma,Mainstream-B,66,3,93.38,0,2
1065,Elena Rodriguez,Mainstream-B,100,4,77.47,0,3
1066,Sarah Jenkins,Foundational-C,64,3,97.49,0,5
1067,Elena Rodriguez,Elite-A,57,2,68.72,0,2
1068,Sarah Jenkins,Elite-A,62,3,87.12,0,2
1069,David Okafor,Foundational-C,70,0,71.14,0,5
1070,Marcus Chen,Foundational-C,68,3,72.48,0,2
1071,David Okafor,Foundational-C,99,5,66.88,0,3
1072,Sarah Jenkins,Mainstream-B,58,2,77.57,0,1
1073,Elena Rodriguez,Foundational-C,72,4,91.26,0,5
1074,Priya Sharma,Mainstream-B,50,3,75.14,1,2
1075,Sarah Jenkins,Mainstream-B,92,1,74.87,0,2
1076,Sarah Jenkins,Mainstream-B,79,7,61.38,0,2
1077,Elena Rodriguez,Mainstream-B,66,3,97.4,0,5
1078,Elena Rodriguez,Foundational-C,85,3,86.52,0,4
1079,David Okafor,Elite-A,48,3,68.43,1,2
1080,Sarah Jenkins,Foundational-C,77,3,89.92,0,2
1081,Sarah Jenkins,Elite-A,62,3,69.7,0,2
1082,Sarah Jenkins,Foundational-C,78,3,75.15,0,5
1083,Elena Rodriguez,Elite-A,79,5,82.45,0,5
1084,Priya Sharma,Elite-A,71,5,98.57,0,5
1085,David Okafor,Mainstream-B,64,1,86.05,0,3
1086,Elena Rodriguez,Foundational-C,66,3,75.39,0,5
1087,David Okafor,Elite-A,77,3,81.35,0,3
1088,Elena Rodriguez,Mainstream-B,71,5,70.09,0,5
1089,Marcus Chen,Elite-A,73,2,86.28,0,5
1090,Elena Rodriguez,Mainstream-B,93,1,89.09,0,4
1091,Marcus Chen,Elite-A,74,6,71.34,0,3
1092,David Okafor,Elite-A,82,3,69.81,0,4
1093,Sarah Jenkins,Elite-A,76,5,71.65,0,5
1094,Priya Sharma,Foundational-C,100,2,60.39,0,5
1095,Marcus Chen,Foundational-C,51,1,98.63,1,3
1096,Sarah Jenkins,Mainstream-B,68,2,68.0,0,3
1097,Marcus Chen,Elite-A,80,2,75.11,0,3
1098,David Okafor,Mainstream-B,69,4,74.72,0,5
1099,Sarah Jenkins,Mainstream-B,75,6,97.1,0,4
1100,David Okafor,Foundational-C,92,4,75.66,0,4
1101,Elena Rodriguez,Mainstream-B,66,4,83.0,0,3
1102,Priya Sharma,Mainstream-B,87,3,95.05,0,4
1103,Sarah Jenkins,Mainstream-B,87,1,68.48,0,3
1104,Elena Rodriguez,Foundational-C,62,1,78.69,0,2
1105,David Okafor,Elite-A,59,4,96.69,0,1
1106,Sarah Jenkins,Mainstream-B,39,6,69.19,1,3
1107,Elena Rodriguez,Mainstream-B,47,3,82.57,1,2
1108,David Okafor,Foundational-C,84,2,66.66,0,2
1109,Elena Rodriguez,Elite-A,67,3,96.74,0,3
1110,Priya Sharma,Elite-A,52,3,70.44,1,1
1111,Priya Sharma,Elite-A,89,6,87.8,0,2
1112,David Okafor,Foundational-C,99,4,72.6,0,2
1113,Priya Sharma,Foundational-C,76,4,92.9,0,2
1114,David Okafor,Foundational-C,50,4,95.84,1,1
1115,Elena Rodriguez,Elite-A,82,4,72.39,0,3
1116,David Okafor,Elite-A,58,5,90.65,0,3
1117,Sarah Jenkins,Foundational-C,100,4,90.83,0,2
1118,David Okafor,Elite-A,64,6,96.97,0,3
1119,David Okafor,Foundational-C,85,4,92.32,0,3
1120,David Okafor,Elite-A,67,3,74.38,0,4
1121,Sarah Jenkins,Foundational-C,71,2,73.43,0,5
1122,Elena Rodriguez,Elite-A,61,3,80.4,0,5
1123,Sarah Jenkins,Elite-A,71,2,62.86,0,2
1124,Marcus Chen,Mainstream-B,78,2,92.74,0,3
1125,David Okafor,Mainstream-B,63,0,78.34,0,5
1126,Elena Rodriguez,Elite-A,68,2,93.77,0,3
1127,David Okafor,Elite-A,71,4,67.47,0,2
1128,David Okafor,Foundational-C,65,2,93.51,0,3
1129,Priya Sharma,Mainstream-B,81,2,75.24,0,2
1130,Priya Sharma,Mainstream-B,74,2,74.64,0,2
1131,David Okafor,Foundational-C,81,1,88.42,0,3
1132,Marcus Chen,Foundational-C,72,2,87.36,0,4
1133,Marcus Chen,Foundational-C,96,1,69.97,0,5
1134,Elena Rodriguez,Elite-A,81,3,72.09,0,3
1135,Priya Sharma,Mainstream-B,87,5,69.99,0,4
1136,Priya Sharma,Foundational-C,74,1,71.31,0,3
1137,Sarah Jenkins,Foundational-C,69,2,76.36,0,3
1138,Marcus Chen,Elite-A,68,1,83.05,0,5
1139,David Okafor,Mainstream-B,91,4,61.49,0,5
1140,Sarah Jenkins,Elite-A,84,2,83.43,0,5
1141,Elena Rodriguez,Foundational-C,95,1,61.73,0,3
1142,David Okafor,Elite-A,66,1,89.41,0,4
1143,Sarah Jenkins,Elite-A,99,7,62.84,0,3
1144,David Okafor,Elite-A,87,2,81.61,0,5
1145,David Okafor,Mainstream-B,80,2,70.63,0,2
1146,Sarah Jenkins,Foundational-C,81,4,90.99,0,4
1147,Elena Rodriguez,Foundational-C,57,2,80.31,0,3
1148,David Okafor,Elite-A,95,4,76.88,0,5
1149,David Okafor,Elite-A,80,6,94.23,0,4
1150,Marcus Chen,Mainstream-B,68,4,92.25,0,2
1151,David Okafor,Mainstream-B,54,3,71.22,1,2
1152,Marcus Chen,Mainstream-B,69,7,75.01,0,5
1153,Priya Sharma,Mainstream-B,65,2,65.54,0,3
1154,Sarah Jenkins,Foundational-C,62,3,78.84,0,3
1155,Elena Rodriguez,Foundational-C,52,3,61.32,1,1
1156,David Okafor,Elite-A,83,4,75.87,0,3
1157,Marcus Chen,Mainstream-B,78,4,73.79,0,4
1158,David Okafor,Elite-A,96,5,96.85,0,3
1159,Elena Rodriguez,Elite-A,100,4,71.03,0,2
1160,Elena Rodriguez,Elite-A,68,3,84.62,0,5
1161,Priya Sharma,Elite-A,96,2,83.95,0,2
1162,Marcus Chen,Foundational-C,55,3,65.57,0,1
1163,Marcus Chen,Elite-A,77,6,76.84,0,5
1164,David Okafor,Foundational-C,79,1,61.5,0,3
1165,Sarah Jenkins,Elite-A,89,3,79.57,0,4
1166,Priya Sharma,Mainstream-B,71,3,71.14,0,4
1167,Sarah Jenkins,Mainstream-B,58,1,85.99,0,3
1168,Marcus Chen,Foundational-C,64,6,86.39,0,3
1169,Marcus Chen,Elite-A,70,4,86.56,0,4
1170,Elena Rodriguez,Mainstream-B,96,1,92.02,0,4
1171,Priya Sharma,Mainstream-B,75,1,95.69,0,5
1172,Marcus Chen,Mainstream-B,60,5,66.79,0,2
1173,Marcus Chen,Elite-A,77,2,65.82,0,2
1174,Sarah Jenkins,Mainstream-B,80,4,89.34,0,5
1175,Priya Sharma,Foundational-C,84,2,79.9,0,3
1176,Priya Sharma,Foundational-C,52,4,98.27,1,2
1177,David Okafor,Elite-A,54,3,70.38,1,2
1178,Priya Sharma,Mainstream-B,56,2,63.9,0,1
1179,Priya Sharma,Mainstream-B,79,4,77.74,0,5
1180,David Okafor,Foundational-C,68,3,73.54,0,4
1181,David Okafor,Mainstream-B,76,3,80.06,0,5
1182,Marcus Chen,Elite-A,63,4,68.1,0,3
1183,David Okafor,Mainstream-B,42,2,60.08,1,1
1184,David Okafor,Elite-A,58,4,91.08,0,1
1185,Marcus Chen,Elite-A,60,3,77.48,0,3
1186,David Okafor,Elite-A,84,7,67.04,0,5
1187,Sarah Jenkins,Elite-A,67,3,69.48,0,2
1188,David Okafor,Foundational-C,51,3,76.93,1,1
1189,Priya Sharma,Mainstream-B,77,1,86.43,0,5
1190,David Okafor,Elite-A,87,6,80.64,0,2
1191,Sarah Jenkins,Elite-A,66,1,73.06,0,4
1192,Elena Rodriguez,Elite-A,100,2,61.06,0,5
1193,Sarah Jenkins,Elite-A,69,2,74.16,0,5
1194,Elena Rodriguez,Elite-A,97,4,78.16,0,5
1195,David Okafor,Foundational-C,82,3,91.11,0,5
1196,Elena Rodriguez,Mainstream-B,82,2,73.08,0,4
1197,Elena Rodriguez,Mainstream-B,68,5,95.34,0,5
1198,Elena Rodriguez,Elite-A,59,3,81.54,0,1
1199,Sarah Jenkins,Foundational-C,53,1,92.24,1,3
1200,Priya Sharma,Mainstream-B,82,3,97.93,0,2
1201,David Okafor,Elite-A,78,1,60.15,0,5
1202,Marcus Chen,Mainstream-B,68,2,65.07,0,3
1203,Sarah Jenkins,Foundational-C,59,1,85.93,0,2
1204,Marcus Chen,Foundational-C,79,4,74.68,0,4
1205,Priya Sharma,Elite-A,80,6,75.9,0,4
1206,Marcus Chen,Foundational-C,97,2,68.14,0,5
1207,David Okafor,Mainstream-B,74,2,62.06,0,5
1208,Marcus Chen,Foundational-C,69,2,91.25,0,4
1209,Elena Rodriguez,Foundational-C,75,2,89.91,0,2
1210,Priya Sharma,Foundational-C,68,1,83.77,0,2
1211,Elena Rodriguez,Elite-A,76,4,79.3,0,3
1212,Priya Sharma,Foundational-C,58,3,72.22,0,3
1213,Priya Sharma,Foundational-C,65,6,79.2,0,3
1214,David Okafor,Mainstream-B,85,1,91.17,0,2
1215,Sarah Jenkins,Elite-A,80,1,68.03,0,5
1216,Sarah Jenkins,Foundational-C,64,3,75.04,0,4
1217,Priya Sharma,Elite-A,89,0,75.0,0,3
1218,David Okafor,Elite-A,53,3,84.09,1,2
1219,Priya Sharma,Mainstream-B,74,2,63.99,0,5
1220,Elena Rodriguez,Elite-A,49,3,92.31,1,1
1221,Priya Sharma,Foundational-C,77,1,84.58,0,3
1222,Priya Sharma,Foundational-C,69,4,81.97,0,5
1223,Priya Sharma,Foundational-C,62,5,95.53,0,2
1224,Sarah Jenkins,Mainstream-B,95,3,83.93,0,4
1225,Priya Sharma,Elite-A,70,2,84.89,0,3
1226,Priya Sharma,Mainstream-B,58,5,69.49,0,1
1227,David Okafor,Mainstream-B,63,3,82.48,0,4
1228,Priya Sharma,Foundational-C,74,3,85.99,0,2
1229,Marcus Chen,Mainstream-B,86,3,98.99,0,3
1230,David Okafor,Mainstream-B,66,3,86.47,0,5
1231,Elena Rodriguez,Foundational-C,69,1,97.19,0,2
1232,Marcus Chen,Foundational-C,84,3,73.21,0,4
1233,Priya Sharma,Elite-A,76,2,65.49,0,4
1234,Elena Rodriguez,Foundational-C,93,2,65.38,0,5
1235,Priya Sharma,Foundational-C,63,4,90.75,0,4
1236,Elena Rodriguez,Mainstream-B,94,5,67.6,0,5
1237,Priya Sharma,Mainstream-B,75,2,75.93,0,2
1238,Sarah Jenkins,Elite-A,61,2,68.52,0,3
1239,David Okafor,Elite-A,64,3,60.47,0,3
1240,Priya Sharma,Mainstream-B,85,2,76.6,0,5
1241,Marcus Chen,Mainstream-B,63,1,82.25,0,5
1242,Marcus Chen,Elite-A,100,4,96.66,0,5
1243,Marcus Chen,Foundational-C,56,3,83.57,0,1
1244,Elena Rodriguez,Mainstream-B,62,3,61.53,0,2
1245,Marcus Chen,Mainstream-B,100,0,86.89,0,2
1246,Priya Sharma,Foundational-C,62,2,73.62,0,5
1247,Sarah Jenkins,Mainstream-B,68,3,83.09,0,5
1248,Sarah Jenkins,Elite-A,74,4,92.94,0,4
1249,David Okafor,Mainstream-B,62,5,79.11,0,2
1250,Marcus Chen,Foundational-C,89,5,97.95,0,5
1251,Priya Sharma,Mainstream-B,78,1,74.13,0,4
1252,Elena Rodriguez,Mainstream-B,69,5,91.05,0,3
1253,Elena Rodriguez,Elite-A,80,5,76.56,0,5
1254,Sarah Jenkins,Elite-A,54,4,81.61,1,2
1255,David Okafor,Mainstream-B,69,3,98.75,0,4
1256,Priya Sharma,Mainstream-B,72,2,97.46,0,3
1257,Sarah Jenkins,Mainstream-B,56,2,95.12,0,2
1258,Marcus Chen,Mainstream-B,68,2,91.99,0,5
1259,Elena Rodriguez,Foundational-C,65,1,65.94,0,4
1260,Elena Rodriguez,Mainstream-B,98,4,71.79,0,2
1261,Sarah Jenkins,Foundational-C,59,3,70.48,0,3
1262,David Okafor,Elite-A,87,5,69.57,0,3
1263,Elena Rodriguez,Mainstream-B,66,3,71.84,0,3
1264,David Okafor,Mainstream-B,66,1,95.97,0,4
1265,David Okafor,Foundational-C,73,0,70.49,0,3
1266,Elena Rodriguez,Elite-A,61,0,73.41,0,5
1267,Priya Sharma,Foundational-C,74,5,95.9,0,2
1268,David Okafor,Elite-A,85,2,85.07,0,3
1269,David Okafor,Foundational-C,58,0,69.74,0,1
1270,David Okafor,Foundational-C,67,4,74.91,0,5
1271,Marcus Chen,Foundational-C,75,2,66.45,0,2
1272,David Okafor,Elite-A,66,3,97.65,0,5
1273,Elena Rodriguez,Foundational-C,84,1,81.55,0,2
1274,Priya Sharma,Foundational-C,71,0,81.83,0,5
1275,David Okafor,Foundational-C,57,6,73.72,0,1
1276,Marcus Chen,Foundational-C,51,1,61.75,1,1
1277,Priya Sharma,Foundational-C,74,2,76.3,0,4
1278,David Okafor,Foundational-C,72,4,69.23,0,4
1279,Elena Rodriguez,Foundational-C,47,5,78.15,1,2
1280,Sarah Jenkins,Foundational-C,81,4,85.37,0,5
1281,Priya Sharma,Mainstream-B,80,2,74.25,0,5
1282,Marcus Chen,Mainstream-B,79,4,65.06,0,4
1283,Marcus Chen,Foundational-C,81,6,92.13,0,2
1284,Priya Sharma,Elite-A,96,3,98.3,0,2
1285,Marcus Chen,Mainstream-B,91,0,74.99,0,2
1286,Sarah Jenkins,Mainstream-B,77,2,71.5,0,3
1287,Marcus Chen,Mainstream-B,88,3,84.82,0,2
1288,Priya Sharma,Elite-A,81,4,83.12,0,5
1289,David Okafor,Elite-A,81,5,79.16,0,2
1290,Sarah Jenkins,Foundational-C,89,3,86.34,0,2
1291,Marcus Chen,Mainstream-B,54,3,67.65,1,1
1292,David Okafor,Foundational-C,71,4,81.37,0,3
1293,Sarah Jenkins,Elite-A,74,3,64.66,0,2
1294,Elena Rodriguez,Mainstream-B,47,1,94.1,1,3
1295,Marcus Chen,Elite-A,57,0,71.68,0,1
1296,Priya Sharma,Elite-A,74,5,60.25,0,3
1297,Marcus Chen,Elite-A,76,2,77.48,0,3
1298,Marcus Chen,Elite-A,67,2,68.32,0,5
1299,Priya Sharma,Foundational-C,75,3,72.75,0,4
1300,David Okafor,Mainstream-B,77,3,64.6,0,2
